scouter,eventCode,matchLevel,matchNumber,robot,teamNumber,as,at,au,al,ac,tu,tl,wd,cif,ss,c,lsr,be,cn,ds,dr,ba,d,cf,all,co,cnf,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41
ES,2022WK0,qm,1,b3,88,[21],N,0,1,N,3,0,N,g,[43],x,x,N,1,v,n,N,N,N,Y,,a,,,,,,,,,,,,,
BM,2022WK0,qm,1,r2,1153,[29],Y,0,0,N,4,0,N,g,,2,x,Y,0,a,n,N,N,N,Y,Pretty good robot,v,,,,,,,,,,,,,
EG,2022WK0,qm,1,r3,4041,[18],N,0,0,N,0,0,N,x,,x,x,N,1,x,x,N,Y,N,N,,a,,,,,,,,,,,,,
FgEg,2022WK0,qm,1,b1,157,[29],N,0,0,N,0,2,N,g,"[41,66]",x,x,N,0,x,x,N,N,N,N,,a,,,,,,,,,,,,,
CS ,2022WK0,qm,1,b2,2342,[32],N,0,0,N,0,0,N,x,,x,x,N,0,n,n,N,N,N,N,,n,,,,,,,,,,,,,
AM,2022WK0,qm,1,r1,2370,[19],N,1,0,Y,1,0,N,b,"[44,45,32]",f,2,N,1,v,x,N,N,N,N,,a,,,,,,,,,,,,,
Ma,2022WK0,qm,2,r3,246,[44],N,0,0,N,0,0,N,,,,,N,0,,,N,N,N,N,Didn't show up,v,,,,,,,,,,,,,
ES,2022WK0,qm,2,b3,1721,[43],N,0,0,N,0,0,N,,,x,x,N,1,x,x,N,N,N,N,,n,,,,,,,,,,,,,
BM,2022WK0,qm,2,r2,3467,[29],N,0,0,N,0,9,N,g,,2,x,N,0,a,x,N,N,N,Y,Pretty solid,v,,,,,,,,,,,,,
FgEEg,2022WK0,qm,2,b1,4909,[29],N,0,0,N,1,0,N,g,[30],x,x,N,1,x,x,N,N,N,N,,,,,,,,,,,,,,,
AM,2022WK0,qm,2,r1,811,[20],N,0,0,N,0,0,N,g,"[21,21,21,32,33,33,33,33]",x,x,N,1,a,x,N,N,N,N,,n,,,,,,,,,,,,,
FgEEg,2022WK0,qm,3,b1,509,[18],N,0,0,N,0,0,N,,,4,x,Y,2,a,x,N,N,N,N,,a,,,,,,,,,,,,,
Ma,2022WK0,qm,3,r3,501,[],N,0,0,N,1,0,N,g,[19],x,,N,0,,x,N,N,N,N,Got jammed,v,,,,,,,,,,,,,
ES,2022WK0,qm,3,b3,509,[43],N,0,0,N,0,0,N,x,[44],4,4,Y,1,a,x,N,N,N,N,,a,,,,,,,,,,,,,
BM,2022WK0,qm,3,r2,2713,[53],Y,0,0,N,0,3,N,g,,x,x,N,0,a,x,N,N,N,N,"Slow, inaccurate shooter. Needs to be close to sho",v,,,,,,,,,,,,,
AM,2022WK0,qm,3,r1,151,[44],N,0,0,N,0,0,N,x,,f,x,N,0,n,x,N,N,N,N,,n,,,,,,,,,,,,,
Ma,2022WK0,qm,4,r3,125,[44],N,0,0,N,0,0,Y,,,x,x,N,0,x,x,N,N,N,N,,a,,,,,,,,,,,,,
ES,2022WK0,qm,4,b3,5687,[56],N,2,0,N,0,0,Y,g,,x,x,N,0,a,n,N,N,N,N,,a,,,,,,,,,,,,,
AM,2022WK0,qm,4,r1,8724,[56],Y,0,0,Y,3,0,N,g,"[43,54,42,23,23,23]",x,x,N,0,a,a,N,N,N,N,,a,,,,,,,,,,,,,
EG,2022WK0,qm,4,b1,5687,[29],N,1,0,N,0,0,N,,[30],x,x,N,1,,,N,N,N,N,,,,,,,,,,,,,,,
BM,2022WK0,qm,4,r2,5459,[41],N,0,0,N,0,0,N,,,x,x,N,0,a,a,N,N,N,N,"Robot had some trouble starting, alright defense",v,,,,,,,,,,,,,
S,2022WK0,qm,5,r3,811,[18],N,0,0,N,1,1,N,,[28],x,x,N,0,a,x,N,N,N,N,Slow robot ,a,,,,,,,,,,,,,
ES,2022WK0,qm,5,b3,4041,[44],N,0,0,N,0,0,N,x,,x,x,N,0,x,x,N,N,N,N,,n,,,,,,,,,,,,,
EGeg,2022WK0,qm,5,b1,4041,[30],Y,0,0,N,0,0,N,g,"[65,66,54]",x,x,N,0,,,N,N,N,N,,,,,,,,,,,,,,,
BM,2022WK0,qm,5,r2,88,[17],N,0,0,N,4,0,N,g,,x,x,N,0,v,x,N,N,N,Y,Best robot I've seen in years,v,,,,,,,,,,,,,
SvCF,2022WK0,qm,5,b2,246,[],N,0,0,N,0,0,N,x,,x,x,N,0,x,x,N,N,N,N,Didnt show up,a,,,,,,,,,,,,,
AM,2022WK0,qm,5,r1,4909,[20],Y,0,0,N,3,0,N,g,"[54,31,31,20]",x,x,N,0,a,x,N,N,N,N,,a,,,,,,,,,,,,,
CS,2022WK0,qm,6,r3,6153,[32],N,0,0,N,0,0,N,,,x,x,N,0,n,a,N,N,N,N,,,,,,,,,,,,,,,
Eg,2022WK0,qm,6,b1,1721,[34],N,0,0,N,0,0,N,,,x,x,N,0,,,N,N,N,N,Didn't show up,a,,,,,,,,,,,,,
ES,2022WK0,qm,6,b3,2713,[20],N,0,0,N,0,2,N,g,"[32,31]",x,x,N,1,a,x,N,N,N,N,,a,,,,,,,,,,,,,
Cole,2022WK0,qm,6,b2,509,[30],N,0,0,N,1,2,N,g,,4,4,Y,3,a,x,N,N,N,Y,,a,,,,,,,,,,,,,
AM,2022WK0,qm,6,r1,1153,[56],Y,1,0,Y,3,0,N,g,"[31,31,44,44,43,43]",x,x,N,0,a,x,N,N,N,N,,a,,,,,,,,,,,,,
