Ac,All,As,At,Ba,Be,C,Cf,Cif,Cnf,Co,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,D,Dr,Ds,Event Code,Match Level,Match Number,Robot,Scouter,Ss,Team Number,Wd,Al,Au,Cn,Tl,Tu
N,N,[19],N,N,N,,N,,,,,,,,,,,,,,,,,,N,,,2022NHGRS,qm,15,b2,cf,,0,N,0,0,0,0,0
N,N,[44],Y,N,N,2,N,g,,,,,,,,,,,,,,,,,N,,,2022NHGRS,qm,11,b1,ps,"[67,57,45]",78,N,0,0,2,0,4
Y,Y,[29],N,N,Y,2,N,t,v,,,,,,,,,,,,,,,,N,v,v,2022NHGRS,qm,5,r1,RS,"[19,29,66,54]",78,N,0,2,2,0,7
Y,Y,[29],N,N,Y,2,N,t,v,,,,,,,,,,,,,,,,N,v,v,2022NHGRS,qm,5,r1,RS,"[19,29,66,54]",78,N,0,2,2,0,7
Y,Y,[29],Y,N,N,2,N,g,v,pretty good all around,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,29,r2,DC,,78,N,0,2,2,0,4
N,Y,[29],N,N,N,2,N,g,v,,,,,,,,,,,,,,,,N,x,v,2022WK0,qm,18,r3,ES,"[53,54,55,54,55,54]",78,N,0,2,2,0,10
N,Y,[54],Y,N,N,2,N,g,v,,,,,,,,,,,,,,,,N,x,v,2022WK0,qm,23,r3,ES,"[28,32,53,52,40]",78,N,0,0,2,0,6
N,N,[54],Y,N,N,x,N,g,n,"it's us, but we keep having issues",,,,,,,,,,,,,,,N,n,a,2022NHGRS,qm,7,b2,am,[41],88,N,0,1,1,0,1
N,N,[54],Y,N,N,f,N,,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,30,b2,am,"[19,19,54,41,54,18,19]",88,N,0,0,0,0,7
N,Y,[29],N,N,N,x,N,g,a,need to work on climber,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,25,r2,MM,"[17,29,54]",88,N,0,0,2,0,4
Y,Y,[29],Y,N,N,2,N,g,v,obviously the best robot in the competition,,,,,,,,,,,,,,,N,x,v,2022WK0,qm,12,r3,DC,[],88,Y,0,0,3,0,3
N,N,[29],N,N,N,x,N,g,n,,,,,,,,,,,,,,,,N,v,a,2022WK0,qm,19,r3,ES,,88,N,0,1,0,0,0
N,Y,[7],Y,N,N,3,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,10,b3,cf,[19],95,N,0,0,2,8,2
Y,Y,[54],N,N,Y,3,N,t,v,,,,,,,,,,,,,,,,N,v,v,2022NHGRS,qm,25,r1,RS,"[29,54,19]",95,N,0,2,1,0,4
Y,N,[41],Y,N,N,x,N,g,v,,,,,,,,,,,,,,,,N,v,v,2022NHGRS,qm,29,r1,RS,"[43,31,31,31,42,30,30,30,41,31,31]",95,N,0,2,2,0,8
N,N,[56],Y,N,N,2,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,21,b1,cf,[43],126,N,0,0,3,5,0
Y,Y,[17],N,N,Y,2,N,t,v,,,,,,,,,,,,,,,,N,v,v,2022NHGRS,qm,28,r1,RS,"[41,30,54]",126,Y,0,1,2,9,0
N,N,[29],Y,N,N,2,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,9,r2,jm,"[54,43]",126,N,0,0,3,3,0
Y,N,[17],Y,N,Y,2,N,g,a,Had a part come loose on the intake.,,,,,,,,,,,,,,,N,x,a,2022WK0,qm,15,r3,Es,"[19,19,19,29,30]",126,N,0,2,3,4,0
Y,Y,[44],N,N,Y,4,N,g,v,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,23,b1,cf,,131,N,0,2,5,10,0
Y,Y,[44],Y,N,Y,4,N,g,v,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,28,b1,cf,[33],131,N,0,1,4,9,0
N,N,[56],N,N,N,2,N,,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,19,b2,jm,[53],131,Y,0,2,2,2,1
N,Y,[29],Y,N,Y,f,N,g,v,,,,,,,,,,,,,,,,Y,v,v,2022NHGRS,qm,8,r2,jm,"[54,43]",131,N,0,2,1,1,3
Y,N,[42],Y,N,N,x,N,b,n,,,,,,,,,,,,,,,,N,n,n,2022NHGRS,qm,8,r1,AM,,151,N,1,0,1,0,0
N,N,[17],Y,N,N,,N,,n,Did not show up.,,,,,,,,,,,,,,,N,x,x,2022WK0,qm,16,r3,ES,[60],151,N,0,0,0,0,0
N,N,[54],N,N,N,2,N,x,n,Did not successfully intake one ball.,,,,,,,,,,,,,,,N,x,n,2022WK0,qm,20,r3,ES,,151,N,0,0,2,0,0
N,N,[29],N,N,N,2,N,,a,,,,,,,,,,,,,,,,N,x,a,2022WK0,qm,27,r3,ES,[30],151,N,0,0,3,2,0
N,N,[7],Y,N,N,x,N,,n,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,7,b3,cf,,467,N,0,0,3,0,1
Y,Y,[54],Y,N,N,f,N,g,v,,,,,,,,,,,,,,,,N,x,a,2022WK0,qm,26,r3,BM,"[54,42,42,42,42,42,54,29,29,44,43]",467,Y,2,0,0,9,0
Y,N,[19],Y,Y,Y,x,N,,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,22,b1,cf,,501,N,0,1,2,0,3
N,N,[54],Y,N,N,x,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,29,b2,am,"[44,44,20,44]",501,N,0,0,1,0,4
N,N,[54],Y,N,N,x,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,29,b2,am,"[44,44,20,44]",501,N,0,0,1,0,4
N,N,[43],Y,N,N,f,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,15,b3,AM,,501,N,0,0,0,0,0
Y,N,[29],N,N,N,x,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,4,r1,RS,"[29,19,19,54]",501,N,0,0,1,4,0
N,N,[18],Y,N,N,1,N,g,a,,,,,,,,,,,,,,,,N,x,v,2022NHGRS,qm,20,b3,AM,"[31,30,31,19,30,30,31,19,43,43,32]",663,N,0,0,3,0,6
N,N,[29],Y,N,N,f,N,b,a,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,11,r1,AM,"[40,16,16,32,20,19,19]",663,N,0,0,0,2,0
N,Y,[29],N,N,Y,1,N,g,v,,,,,,,,,,,,,,,,N,v,v,2022NHGRS,qm,15,r1,663,"[29,54,31,40,28,7]",663,N,0,0,3,0,4
Y,Y,[29],N,N,N,1,N,t,v,,,,,,,,,,,,,,,,N,v,v,2022NHGRS,qm,27,r1,RS,"[29,54,19]",663,Y,0,0,3,0,5
N,N,[41],Y,Y,N,x,N,g,n,,,,,,,,,,,,,,,,N,v,a,2022NHGRS,qm,21,b2,am,,811,Y,0,0,2,0,0
N,N,[19],Y,N,Y,f,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,9,b3,cf,,811,N,0,0,4,0,0
N,N,[54],N,N,N,2,N,,v,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,23,b2,am,,1058,N,0,0,2,4,0
N,N,[18],Y,N,N,2,N,g,n,,,,,,,,,,,,,,,,N,n,a,2022NHGRS,qm,11,b3,cf,,1058,N,0,0,3,0,0
Y,Y,[54],Y,N,N,2,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,15,r2,MM,[42],1058,Y,1,0,4,4,0
N,Y,[54],Y,N,N,2,N,g,v,very effective at scoring low,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,30,r2,DC,,1058,N,0,0,0,9,0
N,N,[44],N,N,N,x,N,x,n,able to do autonomous but nothing else,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,19,b1,DC,,1247,Y,1,0,0,0,0
N,N,[17],N,N,N,x,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,24,r2,MM,[54],1247,N,0,0,3,1,0
N,Y,[32],Y,N,N,f,N,g,v,,,,,,,,,,,,,,,,N,n,a,2022NHGRS,qm,28,b3,ps,"[43,31]",1277,N,0,1,2,4,0
N,N,[41],Y,N,N,f,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,10,r1,AM,"[52,42,30]",1277,N,0,1,0,3,0
N,Y,[29],N,N,Y,2,N,b,a,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,17,r1,RS,,1277,Y,0,0,1,3,0
Y,N,[29],N,N,Y,1,N,g,n,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,23,r1,RS,"[19,54]",1277,N,0,1,3,2,0
Y,N,[44],N,N,N,x,N,x,a,,,,,,,,,,,,,,,,N,a,n,2022NHGRS,qm,12,b3,cf,,1307,N,0,0,4,0,0
N,N,[56],Y,N,N,x,N,,n,,,,,,,,,,,,,,,,N,n,a,2022NHGRS,qm,23,b3,ps,"[54,41]",1307,N,0,0,2,2,0
N,N,[32],Y,N,N,x,N,g,a,,,,,,,,,,,,,,,,N,n,a,2022NHGRS,qm,27,b3,ps,[43],1307,N,0,0,1,1,0
N,N,[54],N,N,N,x,N,g,a,,,,,,,,,,,,,,,,N,n,n,2022NHGRS,qm,17,r2,MM,"[42,42]",1307,N,0,0,1,3,0
N,N,[44],Y,N,N,f,N,g,a,inaccurate shooting,,,,,,,,,,,,,,,N,x,a,2022NHGRS,qm,18,b1,DC,,1512,N,0,0,0,0,0
N,N,[29],N,N,N,2,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,7,r2,jm,[64],1512,N,0,0,2,0,1
N,N,[29],Y,N,N,2,N,,n,"Was inactive for a little bit, and then came back.",,,,,,,,,,,,,,,N,x,x,2022WK0,qm,24,r3,ES,[6],1512,N,0,0,1,0,0
N,N,[44],N,N,N,x,N,g,v,Helped 7913 get unstuck,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,30,b1,BM,[44],1721,N,1,0,0,1,0
N,N,[44],N,N,N,x,N,g,,,,,,,,,,,,,,,,,N,n,a,2022NHGRS,qm,16,b3,cf,[8],1721,N,0,0,3,0,0
N,N,[32],N,N,N,x,N,x,n,,,,,,,,,,,,,,,,N,n,n,2022NHGRS,qm,26,b3,ps,,1721,N,0,0,1,0,0
Y,N,[29],N,N,N,x,N,g,a,,,,,,,,,,,,,,,,N,n,n,2022NHGRS,qm,18,r1,RS,[],1721,N,0,0,2,0,0
N,Y,[54],N,N,N,x,N,g,a,,,,,,,,,,,,,,,,N,v,v,2022NHGRS,qm,10,r2,jm,[54],1721,N,0,0,0,0,0
N,N,[41],N,N,N,x,N,g,n,didn't move,,,,,,,,,,,,,,,N,n,n,2022NHGRS,qm,11,b2,am,,1729,N,0,0,2,0,0
